address,company,detail,position
深圳,"
字节跳动
",本科以上 | 5年以上 | 全职,PMO
北京,"
字节跳动
",本科以上 | 1年以上 | 全职,海外流量运营经理
北京,"
字节跳动
",本科以上 | 3年以上 | 全职,后台研发工程师 直播
杭州,"
字节跳动
",本科以上 | 3年以上 | 全职,平台合作运营
北京,"
字节跳动
",本科以上 | 5年以上 | 全职,风控算法负责人 - 短视频电商
北京,"
字节跳动
",本科以上 | 实习 | 3000-5000元,UX体验师实习生-飞书
北京,"
字节跳动
",实习 | 3000-5000元,结算支付实习生
杭州,"
字节跳动
",本科以上 | 3年以上 | 全职,测试开发工程师 - 电商中台
北京,"
字节跳动
",本科以上 | 3年以上 | 全职,客户数据平台高级产品经理
深圳,"
字节跳动
",本科以上 | 全职,服务端研发工程师 - 海外发行
无锡,"
字节跳动
",本科以上 | 3年以上 | 全职,生物学科教研员
北京,"
字节跳动
",本科以上 | 5年以上 | 全职,要人护卫项目经理
北京,"
字节跳动
",本科以上 | 1年以上 | 全职,抖音工具产品经理
北京,"
字节跳动
",本科以上 | 1年以上 | 全职,Java开发工程师-安全方向
北京,"
字节跳动
",本科以上 | 3-5年 | 全职 | 20000-35000元,品牌策略经理
泰州,"
隆基乐叶光伏
",大专以上 | 1年经验 | 全职 | 6-8千/月,生产计划主管 专员
西安,"
隆基乐叶光伏
",全职 | 4.5-6千/月,生产普工 操作工
泰州,"
隆基乐叶光伏
",中专以上 | 1年经验 | 全职 | 7-9千/月,生产班长
银川,"
隆基乐叶光伏
",大专以上 | 二年 | 全职 | 5000-8000,物控专员
上海,"
隆基乐叶光伏
",2年经验 | 全职 | 0.6-1万/月,销售业务支持专员
上海,"
隆基乐叶光伏
",全职 | 0.8-1.2万/月,销售支持专员
泰州,"
隆基乐叶光伏
",大专以上 | 5-7年经验 | 全职 | 0.6-1万/月,客诉工程师
衢州,"
隆基乐叶光伏
",中专以上 | 1年经验 | 全职 | 5-7千/月,动力助理工程师 动力运行工
泰州,"
隆基乐叶光伏
",大专以上 | 3-4年经验 | 全职 | 6-8千/月,电力工程师 助理工程师
咸阳,"
隆基乐叶光伏
",本科以上 | 3-4年经验 | 全职 | 6-9千/月,暖通工程师
泰州,"
隆基乐叶光伏
",本科以上 | 五年 | 全职 | 20000-25000,设备经理
泰州,"
隆基乐叶光伏
",大专以上 | 1-3年 | 全职 | 8-10K,MES工程师-
泰州,"
隆基乐叶光伏
",大专以上 | 1-3年 | 全职 | 8-10K,自动化设备IT工程师-泰州
衢州,"
隆基乐叶光伏
",本科以上 | 3-4年经验 | 全职 | 5-7千/月,工会专员
银川,"
隆基乐叶光伏
",本科以上 | 三年 | 全职 | 8000-12000,MES系统工程师
北京,"
京东
",本科以上 | 5年以上 | 全职 | 28.0-70.0万元,iOS开发组长
北京,"
京东
",本科以上 | 3年以上 | 全职,市场营销推广经理
深圳,"
京东
",本科以上 | 3年以上 | 全职 | 21.0-42.0万元,c开发工程师
深圳,"
京东
",大专以上 | 1年以上 | 全职 | 7.2-14.4万元,数据分析主管专员
泸州,"
京东
",大专以上 | 2年以上 | 全职,物流销售岗
北京,"
京东
",大专以上 | 3年以上 | 全职,医药销售经理
广州,"
京东
",本科以上 | 4年以上 | 全职 | 15.4-23.8万元,HRBP经理
郑州,"
京东
",大专以上 | 3年以上 | 全职 | 8.4-14.0万元,项目运营岗
武汉,"
京东
",大专以上 | 3年以上 | 全职,京东新通路门店拓展岗
北京,"
京东
",本科以上 | 5年以上 | 全职,C开发工程师
南昌,"
京东
",本科以上 | 3年以上 | 全职 | 9.6-14.4万元,京东新通路O2O平台运营岗
荆州,"
京东
",本科以上 | 3年以上 | 全职,京东家电-运营经理
武汉,"
京东
",本科以上 | 3年以上 | 全职 | 15.6-36.0万元,京东新通路高级Web前端研发工程师
宁波,"
京东
",大专以上 | 6年以上 | 全职 | 14.0-21.0万元,机电工程师-宁波
福州,"
京东
",本科以上 | 3年以上 | 全职,渠道销售岗
